size0,size1,size2,size3,size4,size5,size6,size7,size8,size9,size10,size11,size12,size13,size14,size15,size16,size17,size18,size19,size20,size21,size22,size23,size24,size25,size26,size27,size28,size29,size30,size31,size32,size33,size34,size35,size36,size37,size38,size39,size40,size41,size42,size43,size44,size45,size46,size47,size48,size49,size50,size51,size52,size53,size54,size55,size56,size57,size58,size59,size60,size61,size62,size63,size64,size65,size66,size67,size68,size69,size70,size71,size72,size73,size74,size75,size76,size77,size78,size79,size80,size81,size82,size83,size84,size85,size86,size87,size88,size89,size90,size91,size92,size93,size94,size95,size96,size97,size98,size99,size100,size101,size102,size103,size104,size105,size106,size107,size108,size109,size110,size111,size112,size113,size114,size115,size116,size117,size118,size119,size120,size121,size122,size123,size124,size125,size126,size127,size128,size129,size130,size131,size132,size133,size134,size135,size136,size137,size138,size139,size140,size141,size142
79856,76560,81488,74512,79976,80448,80296,73600,77648,89096,94520,181752,96408,89224,95064,86984,90080,87688,90176,95208,101008,88664,84000,189592,131248,122680,119024,106992,111984,115032,125744,112696,110704,122800,134608,210904,166720,169808,165744,141544,158664,161640,197208,203080,206776,179448,169152,238128,145000,118192,112800,105768,115272,108296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88472,97504,82704,89392,86072,108728,86528,93968,81520,87784,92496,202408,69768,85128,86496,74376,71816,89784,82512,100696,77224,90096,81296,189512,71048,90880,78848,81592,78920,87520,89768,322016,152568,150576,122848,270920,145784,115728,147296,141800,108688,117064,135128,114872,114456,83016,98648,169376,78680,74824,62496,90152,91136,77920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53280,58280,60352,70104,61584,69152,65800,81056,72920,84120,73912,177552,73576,81072,76232,77744,69232,93168,78656,83416,85088,85968,74848,163304,90136,87944,88536,115568,112528,124624,116432,119160,106976,121376,124336,227592,154864,180760,157608,167272,131016,166904,168824,150688,211704,184320,212216,245896,262712,216056,137192,103624,96264,130024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70432,76048,78656,77240,79024,79176,69808,78552,77408,71448,89440,163208,92528,86576,77768,77552,80136,79088,82120,85872,77192,80392,80616,171336,85272,95424,95424,100216,90088,84440,97248,113792,97128,86312,90712,182488,93688,95848,101800,285760,149416,174192,140552,133536,147056,139192,123264,172376,103992,121640,154168,104712,132392,121288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117312,107864,111560,112232,120744,105656,113240,115376,94936,113768,116280,230992,129432,119464,136808,130344,143808,147488,138392,131976,128088,120208,128336,238344,127936,125080,116768,119648,123016,113008,113928,116352,127040,123296,150112,216000,103408,102472,128760,120480,138976,105344,93000,88160,130328,108696,134240,111064,134728,123800,158176,126280,125168,122712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103104,82136,107440,100608,116672,129768,131944,121344,124568,127528,132216,186600,129896,130584,281016,118184,123480,119000,119528,118080,125040,125352,120400,199776,136968,104432,94176,94624,100504,86208,90376,86040,76768,71816,71040,79648,76912,77160,76032,83864,84992,83104,86464,79584,86712,101216,91360,120248,135600,128680,153744,153936,173208,24968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121776,111264,99704,88960,102480,100968,99296,84592,99864,91872,105248,186728,128352,122512,132200,127272,134592,127832,121792,128224,178112,121032,114344,209736,101104,107760,103272,111144,109568,107280,112288,108192,113000,105296,112400,174712,117224,99272,97056,82840,92336,88208,91408,94608,108432,98784,107216,102880,104328,106320,135168,129864,127208,125256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105512,111864,111688,115088,119632,109176,109760,108000,115848,109760,110664,185960,107712,109472,104456,104696,109408,106616,109896,109992,111608,142248,79720,124920,77376,102848,90072,130592,100240,136560,93736,144224,105840,137784,108336,222088,90216,106464,81736,84728,75912,79280,73040,106880,62928,73480,70184,96216,65504,72776,73248,96376,86520,110144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80128,83056,81432,77056,78480,78648,78544,79984,76976,73816,77048,186840,80128,86752,87976,93680,185168,113184,125880,122248,119776,122320,122832,156328,117976,100200,101240,104504,85584,98144,102464,90024,97312,103712,89360,127784,97784,134448,138832,137424,152960,130936,126632,117280,114528,118704,102888,161264,132920,110232,83680,73872,76048,74976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106504,109880,119736,118072,118176,109408,114560,121400,125040,136208,128512,240520,125840,125440,150800,133272,161576,145584,156216,124384,169152,137368,149824,292736,132248,119056,112616,124760,131440,130112,136840,126336,118272,122752,106576,220368,108104,106864,99464,101368,95416,87800,97024,90552,85368,89536,94968,115920,91984,85768,88248,92168,100928,105024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
